Столбец1;district;SOZYV;turnout;deputy;expell;self_success;ER_success;KPRF_success;ya_success;other_success;self_share;er_share;kprf_share;ya_share;other_share;party_deputy_share
Проспект Вернадского;82;4;0.14;10;0.09;0,00;0.7;0.13;0.5;НЕТ;0,00;0.7;0.1;0.2;0,00;1,00
Раменки;83;4;0.14;12;0.1;0.27;НЕТ;0.17;0.44;НЕТ;0.5;0,00;0.17;0.33;0,00;0.5
Ростокино;84;4;0.2;10;0.02;0.23;0.7;0,00;0,00;НЕТ;0.3;0.7;0,00;0,00;0,00;0.7
Рязанский;85;4;0.15;10;0.06;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Савёлки;86;4;0.18;10;0.02;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Савёловский;87;4;0.16;12;0.08;0,00;0.92;0,00;0.14;НЕТ;0,00;0.92;0,00;0.08;0,00;1,00
Свиблово;88;4;0.17;12;0.09;0,00;0.92;0,00;0.11;НЕТ;0,00;0.92;0,00;0.08;0,00;1,00
Северное Бутово;89;4;0.14;10;0.03;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Северное Измайлово;90;4;0.17;12;0.04;0.04;0.83;0,00;0.2;НЕТ;0.08;0.83;0,00;0.08;0,00;0.92
Северное Медведково;91;4;0.13;15;0.11;0.13;0.8;0,00;0,00;НЕТ;0.07;0.8;0,00;0,00;0,00;0.93
Северное Тушино;92;4;0.14;15;0.07;0,00;0.79;0,00;0.43;НЕТ;0,00;0.73;0,00;0.2;0,00;1,00
Северный;93;4;0.19;10;0.05;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Силино;94;4;0.18;10;0.11;0.11;0.9;0,00;0,00;НЕТ;0.1;0.9;0,00;0,00;0,00;0.9
